rating,enrollment,grade_span,name,address
34,521,OK-6,A M Windham Elementary School,"626 N. DALEVILLE AVE., Daleville"
34,294,3-4,A.C. Moore Elementary School,"501 BECK ST, Atmore"
21,332,OK-3,Abbeville Elementary School,"100 ELM ST, Abbeville"
23,529,7-12,Abbeville High School,"411 GRABALL CUTOFF, Abbeville"
11,253,4-6,Abbeville Middle School,"P O BOX 547, Abbeville"
40,180,PK-6,Abc Elementary School,"P O BOX 129, Alberta"
26,470,PK-6,Abrams Elementary School,"1200 23RD ST N, Bessemer"
76,410,OK-8,Academy For Academics & Arts School,"2800 POPLAR ST NW, Huntsville"
69,489,OK-8,Academy For Science & Foreign Language School,"3221 MASTIN LAKE RD, Huntsville"
23,408,PK-5,Adams Elementary School,"919 RALEY ST, Gadsden"
51,373,OK-5,Adamsville Elementary School,"4600 HAZELWOOD ROAD, Adamsville"
52,637,OK-6,Addison Elementary School,"P O BOX 660, Addison"
53,687,7-12,Addison High School,"P O BOX 240, Addison"
-,4,OK-12,Adolescent Day Treatment School,"P. O. BOX 10007, Birmingham"
74,367,OK-4,Ah Watwood Elementary School,"2000 LIMBAUGH BLVD, Childersburg"
-,221,K-10,21st Century Charter School,"525 EAST COSTILLA STREET, Colorado Springs"
-,"1,605",9-12,Abraham Lincoln High School,"2285 SOUTH FEDERAL BOULEVARD, Denver"
32,612,PK-5,Abrams Elementary School,"600 CHILES AVENUE, Fort Carson"
23,415,PK-6,Academia Ana Marie Sandoval School,"3655 WYANDOT STREET, Denver"
-,01-02,,"""DELBERT """"PETE"""" & PAT ALLEN ELEMENTARY""","1900 NORTH MT. OLIVE, Siloam Springs city"
90,K-03,,"""JERRY """"POP"""" WILLIAMS ELEM SCHOOL""","322 NORTH BROYLES STREET, Farmington city"
52,01-06,,"""VISUAL AND PERFORMING ARTS MAGNET SCHOOL""","1804 HILLCREST DRIVE, Jonesboro city"
-,624,3-4,Airport Road Intermediate School,"384 BLACKMON FARM LANE, Coosada"
18,185,7-12,Akron Community East School,"P O BOX 38, Akron"
15,155,OK-6,Akron Community West School,"P O BOX 48, Akron"
-,359,7-12,Alabama Of Fine Arts School,"1800 REV. ABRAHAM WOODS BLVD, Birmingham"
63,895,9-12,Albert P Brewer High School,"59 EVA RD, Somerville"
50,569,OK-6,Albert Turner Senior Elementary School,"901 PEGUES CIR, Marion"
5,521,PK-5,Alberta Elementary School,"2700 UNIVERSITY BLVD E, Tuscaloosa"
53,"1,286",3-4,Albertville Elementary School,"1100 HORTON RD, Albertville"
66,944,9-12,Albertville High School,"402 E MCCORD AVE, Albertville"
73,588,7-8,Albertville Middle School,"600 E ALABAMA AVE, Albertville"
76,536,7-8,Alexander City Middle School,"359 STATE ST, Alexander City"
38,674,K-9,Academy Charter School,"1551 PRAIRIE HAWK DRIVE, Castle Rock"
83,437,PK-5,Academy Endeavour Elementary School,"3475 HAMPTON PARK DRIVE, Colorado Springs"
97,733,PK-5,Academy International Elementary School,"8550 CHARITY, Colorado Springs"
42,"1,157",K-12,Academy Of Charter School,"11800 LOWELL BLVD, Westminster"
-,69,9-12,Academy Of Urban Learning School,"835 EAST 18TH AVENUE, Denver"
7,191,8-10,Ace Community Challenge Charter School,"948 SANTA FE DRIVE, Denver"
-,385,K-8,Achieve Academy School,"9100 POZE BLVD, Thornton"
77,685,PK-6,Acres Green Elementary School,"13524 NORTH ACRES GREEN DRIVE, Littleton"
-,115,PK-Full Day K,Acsd 14 Child Care Center School,"5650 BOWEN COURT, Commerce City"
-,"1,428",9-12,Adams City High School,"4625 EAST 68 AVENUE, Commerce City"
74,611,6-8,Adams City Middle School,"4451 EAST 72ND AVENUE, Commerce City"
43,481,PK-6,Adams Elementary School,"6450 WEST 95TH PLACE, Westminster"
34,07-12,,ACADEMIC CENTER FOR EXCELLENCE,"21 FUNTASTIC DRIVE, Cabot city"
95,05-06,,ACADEMY OF SERVICE AND TECHNOLOGY,"49 EAGLE ST, Vilonia town"
96,02-04,,ACADEMY OF TECHNOLOGY,"4 BANE LANE, Conway city"
3,09-12,,ACCELERATED LEARNING PROGRAM,"7701 SCOTT HAMILTON DRIVE, Little Rock city"
66,K-06,,ACORN ELEMENTARY SCHOOL,"143 POLK 96, Mena city"
63,07-12,,ACORN HIGH SCHOOL,"143 POLK 96, Mena city"
-,-,,ADKINS PRE-K CENTER,"500 CLOVERDALE ROAD, Jacksonville city"
94,07-08,,AHLF JUNIOR HIGH SCHOOL,"308 WEST VINE, Searcy city"
35,PK-06,,ALBERT PIKE ELEMENTARY SCHOOL,"4111 PARK AVENUE, Fort Smith city"
53,03-05,,ALLBRITTON UPPER ELEM. SCHOOL,"501 EAST LINCOLN, Hamburg city"
57,09-12,,ALMA HIGH SCHOOL,"101 EAST MAIN, Alma city"
71,985,OK-5,Alexandria Elementary School,"P O BOX 121, Alexandria"
59,1,6-12,Alexandria High School,"P O BOX 180, Alexandria"
21,353,PK-4,Aliceville Elementary School,"P O BOX 430, Aliceville"
20,310,9-12,Aliceville High School,"417 3RD ST SE, Aliceville"
52,301,5-8,Aliceville Middle School,"1000 COLUMBUS RD, Aliceville"
-,25,10-12,Allen Thornton Career Technical Center School,"7275 HIGHWAY 72, Killen"
78,785,OK-5,Allentown Elementary School,"10330 HOWELLS FERRY RD, Semmes"
40,1,9-12,Alma Bryant High School,"14001 HURRICANE BLVD, Irvington"
25,260,OK-12,Amelia L. Johnson High School,"PO BOX 67, Thomaston"
57,855,OK-5,Andalusia Elementary School,"1501 WEST BYPASS, Andalusia"
9,272,PK-5,Adams Elementary School,"2101 MANITOBA DRIVE, Colorado Springs"
-,127,11-12,Adult & Family Literacy School,"2883 SO. CIRCLE DRIVE, Colorado Springs"
-,168,9-12,Adult Education/Lincoln Center School,"619 BOWEN, Longmont"
-,274,K-6,Adventure Elementary School,"7700 DELTA ST., Denver"
-,17,PK-5,Agate Elementary School,"41032 2ND AVENUE, Agate"
-,47,6-12,Agate Junior-Senior High School,"41032 2ND AVENUE, Agate"
-,79,PK-6,Aguilar Elementary School,"420 NORTH BALSAM, Aguilar"
-,75,7-12,Aguilar Junior-Senior High School,"420 NORTH BALSAM, Aguilar"
62,"1,428",9-12,Air Academy High School,"551 NORTH FRONTAGE ROAD WEST, Usaf Academy"
33,273,PK-8,Akron Elementary School,"301 EAST FIFTH STREET, Akron"
61,128,9-12,Akron High School,"600 ELM, Akron"
-,862,9-12,Alameda High School,"1255 SOUTH WADSWORTH BLVD, Lakewood"
46,03-05,,ALMA INTERMEDIATE SCHOOL,"1220 COLLUM LANE, Alma city"
61,06-08,,ALMA MIDDLE SCHOOL,"706 HIGHWAY 64 EAST, Alma city"
-,K-02,,ALMA PRIMARY SCHOOL,"1600 HIGHWAY 64 EAST, Alma city"
-,K-02,,ALMA SPIKES ELEMENTARY SCHOOL,"1707 HIGHLAND, Pocahontas city"
62,K-06,,ALPENA ELEMENTARY SCHOOL,"300 DENVER STREET, BUILDING B, Alpena town"
70,07-12,,ALPENA HIGH SCHOOL,"300 DENVER STREET, BUILDING A, Alpena town"
-,K-12,,ALTERNATIVE AGENCIES,"800 APPERSON STREET, Little Rock city"
4,PK-05,,ALTHEIMER-MARTIN ELEMENTARY,"106 ORCHARD ST, Altheimer city"
83,K-06,,AMANDA GIST ELEMENTARY SCHOOL,"152 LUCILLE STREET, Cotter city"
24,K-05,,AMBOY ELEMENTARY SCHOOL,"2400 WEST 58TH STREET, North Little Rock city"
55,K-05,,ANGIE GRANT ELEMENTARY SCHOOL,"1124 HOOVER STREET, Benton city"
4,05-08,,ANNA STRONG MIDDLE SCHOOL,"214 S. ALABAMA STREET, Marianna city"
