rating,grade_span,name,enrollment,state,address
29,6-8,Williston Middle School,597,Schools in Florida,"20550 NE 42 PLACE, Williston"
-,8-12,Wilson Academy School,22,Schools in Florida,"2952 WILSON RD, Land O'Lakes"
51,-,Wilson Elementary School,453,Schools in Florida,"985 S ORANGE BLVD, Sanford"
34,K-5,Wilson Elementary School,166,Schools in Florida,"702 W ENGLISH ST, Plant City"
66,-,Wilson Elementary School,453,Schools in Florida,"985 ORANGE BLVD, Sanford"
38,-,Wilson Elementary School,166,Schools in Florida,"702 ENGLISH ST, Plant City"
85,6-8,Wilson Middle School,618,Schools in Florida,"1005 W SWANN AVE, Tampa"
87,6-8,Wilson Middle School,618,Schools in Florida,"1005 W SWANN AVE, Tampa"
74,K-5,Wilton Manors Elementary School,339,Schools in Florida,"2401 NE 3RD AVE, Fort Lauderdale"
45,-,Wimauma Elementary School,219,Schools in Florida,"5709 HICKMAN ST, Wimauma"
54,K-5,Wimauma Elementary School,219,Schools in Florida,"5709 HICKMAN ST, Wimauma"
71,K-5,Windermere Elementary School,319,Schools in Florida,"11125 PARK AVE, Windermere"
39,-,Windmill Point Elementary School,404,Schools in Florida,"700 SW DARWIN BLVD, Port St Lucie"
63,-,Windy Hill Elementary School,245,Schools in Florida,"3831 FOREST BLVD, Jacksonville"
45,6-7,Windy Hill Middle School,748,Schools in Florida,"3575 HANCOCK RD, Clermont"
58,K-8,Windy Ridge Elementary School,264,Schools in Florida,"3900 BEECH TREE DR, Orlando"
54,K-5,Winegard Elementary School,328,Schools in Florida,"7055 WINEGARD RD, Orlando"
72,-,Winegard Elementary School,328,Schools in Florida,"7055 WINEGARD RD, Orlando"
84,K-12,Wingate Oaks Center School,382,Schools in Florida,"1211 NW 33RD TERRACE, Fort Lauderdale"
23,-,Winston Elementary School,"1,200",Schools in Florida,"3415 SWINDELL RD, Lakeland"
67,-,Winston Park Elementary School,595,Schools in Florida,"4000 WINSTON PARK BLVD, Coconut Creek"
73,K-5,Winston Park Elementary School,595,Schools in Florida,"4000 WINSTON PARK BLVD, Coconut Creek"
74,PK-8,Winston Park K-8 Center School,"1,003",Schools in Florida,"13200 SW 79TH ST, Miami"
-,-,Winter Haven Head Start School,-,Schools in Florida,"135 AVENUE Y NE, Winter Haven"
-,-,Winter Haven Pace School,22,Schools in Florida,"1201 1ST ST S, Winter Haven"
58,9-12,Winter Haven Senior High School,748,Schools in Florida,"600 6TH ST SE, Winter Haven"
77,-,Winter Park 9th Grade Center School,725,Schools in Florida,"528 HUNTINGTON AVE, Winter Park"
54,9-12,Winter Park High School,335,Schools in Florida,"2100 SUMMERFIELD RD, Winter Park"
-,-,Winter Park Tech Ace School,-,Schools in Florida,"6100 OLEANDER DR, Orlando"
-,-,Winter Park Tech School,-,Schools in Florida,"901 W WEBSTER AVE, Winter Park"
58,-,Winter Springs Elementary School,749,Schools in Florida,"701 W STATE RD 434, Winter Springs"
65,9-12,Winter Springs High School,"1,002",Schools in Florida,"130 TUSKAWILLA RD, Winter Springs"
47,9-12,Winter Springs High School,"1,002",Schools in Florida,"130 TUSKAWILLA RD, Winter Springs"
-,-,Wiregrass Ranch High Adult Education School,-,Schools in Florida,"2909 MANSFIELD BLVD, Wesley Chapel"
43,9-12,Wiregrass Ranch High School,144,Schools in Florida,"2909 MANSFIELD BLVD, Wesley Chapel"
96,PK AND  9-12,Withlachoochee Technical Insti School,22,Schools in Florida,"1201 W MAIN ST, Inverness"
-,6-12,Withlacoochee Residential Juvenile Facility School,27,Schools in Florida,"3400 STOP CAMP RD, Lacoochee"
40,-,Witter Elementary School,212,Schools in Florida,"10801 N 22ND ST, Tampa"
10,K-5,Witter Elementary School,212,Schools in Florida,"10801 N 22ND ST, Tampa"
91,6-12,Wlc Intensive Halfway House School,415,Schools in Florida,"286 GENE HURLEY RD, Defuniak Springs"
63,6-12,Wlc Shop School,27,Schools in Florida,"286 GENE HURLEY RD, Defuniak Springs"
36,-,Wolf Lake Elementary School,199,Schools in Florida,"1771 W. PONKAN ROAD, Apopka"
-,6-12,Women In Need Of Greater Strength /Wings School,-,Schools in Florida,"11000 SW 220 ST, Miami"
-,6-12,Women's Detention Center School,-,Schools in Florida,"1401 NW 7 AVE, Miami"
18,6-8,Woodham Middle School,887,Schools in Florida,"150 E BURGESS RD, Pensacola"
25,-,Woodland Acres Elementary School,325,Schools in Florida,"328 BOWLAN ST N, Jacksonville"
57,-,Woodland Elementary School,466,Schools in Florida,"38203 HENRY DR, Zephyrhills"
52,-,Woodland Elementary School,466,Schools in Florida,"38203 HENRY DR, Zephyrhills"
63,6-8,Woodland Middle School,718,Schools in Florida,"2700 PANACEA BLVD, North Port"
54,-,Woodlands Elementary School,405,Schools in Florida,"1420 E E WILLIAMSON RD, Longwood"
84,-,Woodlands Elementary School,405,Schools in Florida,"1420 E E WILLIAMSON RD, Longwood"
35,6-8,Woodlands Middle School,385,Schools in Florida,"5200 LYONS RD, Lake Worth"
77,6-8,Woodlawn Beach Middle School,418,Schools in Florida,"1500 WOODLAWN WAY, Gulf Breeze"
24,K-5,Woodlawn Elementary School,202,Schools in Florida,"817 WOODLAWN DR, Sebring"
16,K-5,Woodlawn Elementary School,260,Schools in Florida,"1600-16TH ST N, St Petersburg"
64,-,Woodville Elementary School,22,Schools in Florida,"9373 WOODVILLE HWY, Tallahassee"
38,-,Woodward Avenue Elementary School,346,Schools in Florida,"1201 S WOODWARD AVE, Deland"
58,-,Woodward Avenue Elementary School,346,Schools in Florida,"1201 S WOODWARD AVE, Deland"
34,9-12,Workforce Advantage Academy School,426,Schools in Florida,"2113 E SOUTH ST, Orlando"
